         31597940 function calls (31260790 primitive calls) in 91.931 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   92.117   92.117 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 UserDict.py:16(__len__)
        1    0.000    0.000    0.000    0.000 __init__.py:1001(_event_mouseleave)
       11    0.000    0.000    0.000    0.000 __init__.py:1050(_ensure_string_data)
       11    0.000    0.000    0.000    0.000 __init__.py:1056(_get_gl_format_and_type)
        1    0.000    0.000    0.007    0.007 __init__.py:1061(_event_close)
       19    0.000    0.000    0.002    0.000 __init__.py:1066(_immediate_redraw)
       17    0.000    0.000    0.052    0.003 __init__.py:1076(_event_paint)
        2    0.000    0.000    0.001    0.001 __init__.py:1100(_event_size)
        2    0.000    0.000    0.031    0.015 __init__.py:1123(_event_syscommand)
       49    0.000    0.000    0.003    0.000 __init__.py:1133(_event_move)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(_event_entersizemove)
        4    0.000    0.000    0.000    0.000 __init__.py:1161(_event_setfocus)
        4    0.000    0.000    0.001    0.000 __init__.py:1169(_event_killfocus)
       51    0.000    0.000    0.000    0.000 __init__.py:1177(_event_getminmaxinfo)
       18    0.000    0.000    0.000    0.000 __init__.py:1188(_event_erasebkgnd)
     3611    0.019    0.000    0.258    0.000 __init__.py:1209(clear)
3796/3795    0.017    0.000    0.080    0.000 __init__.py:1217(dispatch_event)
        2    0.000    0.000    0.000    0.000 __init__.py:1350(_nearest_pow2)
       12    0.000    0.000    0.000    0.000 __init__.py:1394(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:142(_setup)
        1    0.001    0.001    0.001    0.001 __init__.py:1500(create_for_size)
      126    0.000    0.000    0.000    0.000 __init__.py:1599(get_texture)
     3689    0.107    0.000   91.383    0.025 __init__.py:162(idle)
       11    0.000    0.000    0.006    0.001 __init__.py:1631(blit_into)
       11    0.000    0.000    0.000    0.000 __init__.py:1635(get_region)
       11    0.000    0.000    0.000    0.000 __init__.py:1710(__init__)
       11    0.000    0.000    0.006    0.001 __init__.py:1742(blit_into)
        1    0.000    0.000    0.000    0.000 __init__.py:199(exit)
        1    0.000    0.000    0.000    0.000 __init__.py:206(on_window_close)
      823    0.007    0.000    0.008    0.000 __init__.py:246(_parse_data)
     2867    0.002    0.000    0.002    0.000 __init__.py:247(POINTER)
     3610    0.022    0.000    0.066    0.000 __init__.py:253(set_state)
        1    0.000    0.000   92.117   92.117 __init__.py:256(run)
     3610    0.015    0.000    0.057    0.000 __init__.py:256(unset_state)
       11    0.000    0.000    0.000    0.000 __init__.py:284(create_unicode_buffer)
     7379    0.014    0.000    0.024    0.000 __init__.py:298(__getattr__)
       23    0.000    0.000    0.000    0.000 __init__.py:298(__init__)
      823    0.007    0.000    0.142    0.000 __init__.py:329(add)
     3709    0.021    0.000    0.021    0.000 __init__.py:337(set_current)
       28    0.000    0.000    0.000    0.000 __init__.py:358(__getattr__)
        1    0.000    0.000    0.002    0.002 __init__.py:363(destroy)
       28    0.000    0.000    0.000    0.000 __init__.py:365(__getitem__)
        1    0.001    0.001    0.003    0.003 __init__.py:366(destroy)
      351    0.002    0.000    0.022    0.000 __init__.py:394(_update_layout_halign)
      351    0.000    0.000    0.000    0.000 __init__.py:410(_get_x)
      823    0.004    0.000    0.053    0.000 __init__.py:416(_get_domain)
      351    0.003    0.000    0.206    0.001 __init__.py:435(_update_wrap)
    42/39    0.000    0.000    0.000    0.000 __init__.py:442(_add_group)
       12    0.001    0.000    0.006    0.001 __init__.py:454(_update_draw_list)
  363/360    0.002    0.000    0.005    0.000 __init__.py:459(visit)
      360    0.000    0.000    0.000    0.000 __init__.py:470(<lambda>)
     3021    0.012    0.000    0.012    0.000 __init__.py:485(cast)
      351    0.000    0.000    0.001    0.000 __init__.py:487(_get_text)
      351    0.002    0.000    0.486    0.001 __init__.py:490(_set_text)
        1    0.003    0.003    0.007    0.007 __init__.py:530(close)
     7222    0.375    0.000   50.317    0.007 __init__.py:531(draw)
